transaction_id,transactional_date,product_id,customer_id,payment,credit_card,loyalty_card,cost,quantity,price
37,2021-05-07 04:36:00,P0560,4,visa,4041590202339,F,1.4,2,1.69
38,2021-05-07 09:44:00,P0249,5,mastercard,5048373408030116,F,4.12,3,4.89
39,2021-05-07 13:51:00,P0599,2,visa,4041596275107,T,13.54,2,14.79
40,2021-05-07 14:50:00,P0396,9,mastercard,5108754745678799,F,4.18,1,4.89
41,2021-05-07 21:36:00,P0337,6,mastercard,5108751127851572,F,19.24,6,21.19
42,2021-05-07 22:59:00,P0445,4,americanexpress,374283543850705,F,0.15,1,1.19
43,2021-05-08 00:23:00,P0097,6,americanexpress,374288165189936,F,9.91,7,11.29
44,2021-05-08 01:20:00,P0384,4,mastercard,5108750131849994,F,4.83,3,5.19
45,2021-05-08 01:48:00,P0431,4,americanexpress,374283964832018,F,10.67,4,11.59
46,2021-05-08 03:04:00,P0170,10,americanexpress,374288240835982,F,8.13,4,8.89
47,2021-05-08 11:56:00,P0451,6,mastercard,5048379772765294,F,2.41,2,3.29
48,2021-05-08 13:06:00,P0694,7,americanexpress,374283513164061,F,0.23,3,1.29
49,2021-05-08 13:43:00,P0661,3,visa,4041593023791707,F,8.21,4,8.99
50,2021-05-08 14:01:00,P0541,13,americanexpress,374288359993838,F,2.8,5,3.89
51,2021-05-08 14:58:00,P0736,4,visa,4041593367493,F,2.87,1,3.99
52,2021-05-08 16:42:00,P0346,6,mastercard,5108750415993088,F,12.21,2,13.79
53,2021-05-08 17:09:00,P0335,4,mastercard,5048379720157370,F,17.17,1,18.19
54,2021-05-08 17:35:00,P0322,5,americanexpress,374288132485151,T,13.65,2,14.89
55,2021-05-08 21:40:00,P0484,4,mastercard,5108754483790335,F,10.9,1,11.59
56,2021-05-08 22:40:00,P0035,6,visa,4041598082914470,F,11.76,3,13.09
57,2021-05-08 23:32:00,P0268,7,americanexpress,374288707197975,T,11.93,1,13.39
58,2021-05-09 01:25:00,P0741,5,americanexpress,374283963067350,F,8.06,2,8.69
59,2021-05-09 01:54:00,P0454,5,visa,4041592983986489,F,5.79,2,6.99
60,2021-05-09 03:19:00,P0474,5,visa,4041599964251,F,15.66,3,17.49
61,2021-05-09 06:30:00,P0582,6,visa,4041593477620477,F,5.55,4,6.59
62,2021-05-09 06:58:00,P0096,6,mastercard,5048371366204103,F,15.64,2,17.49
63,2021-05-09 10:13:00,P0580,8,americanexpress,374283780229209,F,3.39,5,4.59
64,2021-05-09 11:56:00,P0455,7,americanexpress,374288168586070,F,1.63,1,1.79
65,2021-05-09 15:47:00,P0531,6,americanexpress,374288491063268,F,3.2,2,4.39
66,2021-05-09 17:07:00,P0546,5,americanexpress,374283593685175,F,3.2,2,4.39
67,2021-05-09 18:01:00,P0676,9,mastercard,5048375321591959,F,4.72,3,4.99
68,2021-05-09 18:28:00,P0511,6,visa,4041599716520584,F,7.06,1,8.19
69,2021-05-09 23:49:00,P0468,5,americanexpress,374288567196331,F,13.48,5,14.79
70,2021-05-10 01:14:00,P0100,5,mastercard,5108756748746465,F,12.05,1,13.59
71,2021-05-10 03:11:00,P0357,5,mastercard,5108758275045121,F,3.34,1,4.49
72,2021-05-10 03:32:00,P0225,5,mastercard,5108757043026314,T,7.79,4,8.29
73,2021-05-10 06:25:00,P0410,8,mastercard,5108751003991963,F,2.95,5,4.09
74,2021-05-10 07:50:00,P0560,5,visa,4041599799749,F,1.4,3,1.69
75,2021-05-10 08:28:00,P0353,5,visa,4041590972519,T,15.1,3,16.69
76,2021-05-10 15:11:00,P0411,10,mastercard,5048370011791670,F,13.46,1,14.79
77,2021-05-10 15:59:00,P0485,6,visa,4041597721372,F,19.85,2,21.39
78,2021-05-10 19:28:00,P0622,4,mastercard,5108751065239707,F,13.87,1,14.89
79,2021-05-10 23:56:00,P0527,5,americanexpress,374283920722238,F,16.63,3,18.09
80,2021-05-11 00:48:00,P0482,10,americanexpress,374283230369324,F,2.75,1,3.89
81,2021-05-11 03:15:00,P0291,7,americanexpress,374283225936665,F,14.13,1,14.89
82,2021-05-11 04:09:00,P0697,3,mastercard,5108757114786531,F,19.48,1,21.29
83,2021-05-11 04:15:00,P0535,6,visa,4041596926533704,F,12.16,1,13.69
84,2021-05-11 04:35:00,P0021,6,visa,4041596591619804,F,14.13,2,14.89
85,2021-05-11 06:56:00,P0516,9,mastercard,5108750142064690,F,6.12,3,7.49
86,2021-05-11 07:20:00,P0628,8,mastercard,5048377950961156,T,16.23,1,17.99
87,2021-05-11 15:06:00,P0461,10,mastercard,5048377512335493,T,15.83,3,17.69
88,2021-05-11 15:41:00,P0278,6,americanexpress,374283664476645,F,13.24,2,14.69
89,2021-05-11 17:38:00,P0628,5,mastercard,5048372178297590,F,16.23,3,17.99
90,2021-05-11 18:34:00,P0460,6,americanexpress,374288984376292,F,4.37,1,4.99
91,2021-05-11 19:51:00,P0258,6,mastercard,5048370342014719,F,16.65,1,18.09
92,2021-05-12 01:01:00,P0748,5,mastercard,5108754264951676,F,10.22,2,11.49
93,2021-05-12 03:15:00,P0214,5,mastercard,5048373304757978,F,3.27,3,4.49
94,2021-05-12 03:19:00,P0471,6,mastercard,5048378490862110,F,14.12,1,14.89
95,2021-05-12 04:20:00,P0258,7,visa,4041592754261,F,16.65,1,18.09
96,2021-05-12 05:16:00,P0635,9,,3553657910290024,F,7.98,1,8.59
97,2021-05-12 09:56:00,P0389,5,americanexpress,374283634553945,T,5.95,1,7.19
98,2021-05-12 10:12:00,P0291,4,visa,4041597573081906,F,14.13,1,14.89
99,2021-05-12 11:24:00,P0423,9,americanexpress,374283552274334,F,14.04,1,14.89
100,2021-05-12 11:36:00,P0340,5,visa,4041597002081139,F,19.56,1,21.29
101,2021-05-12 15:11:00,P0489,3,americanexpress,374288002362589,T,8.46,3,9.49
102,2021-05-12 18:32:00,P0545,8,mastercard,5108757985493662,T,6.62,1,7.89
103,2021-05-12 19:00:00,P0671,8,mastercard,5108752028002448,F,19.14,1,21.09
104,2021-05-12 21:50:00,P0512,7,mastercard,5048377558214743,F,15.55,3,17.39
105,2021-05-12 23:43:00,P0032,5,visa,4041598701409688,F,5.52,1,6.59
106,2021-05-13 01:00:00,P0437,4,visa,4041591377387,F,0.1,3,1.19
107,2021-05-13 03:26:00,P0429,9,americanexpress,374283299852251,F,0.78,2,1.59
108,2021-05-13 07:08:00,P0505,8,americanexpress,374283427528658,F,3.97,3,4.89
109,2021-05-13 07:17:00,P0423,8,mastercard,5108754133243636,F,14.04,3,14.89
110,2021-05-13 15:07:00,P0391,8,visa,4041591729167271,F,1.6,4,1.79
111,2021-05-13 18:01:00,P0430,6,americanexpress,374283942751819,F,17.67,2,18.99
112,2021-05-13 18:45:00,P0584,8,mastercard,5048371336719511,T,12.95,1,14.59
113,2021-05-14 02:52:00,P0131,5,visa,4041597595442920,F,11.71,1,12.99
114,2021-05-14 12:09:00,P0297,6,mastercard,5048370123934028,F,17.82,1,19.29
115,2021-05-14 17:24:00,P0294,6,americanexpress,374288906868806,F,12.38,1,13.99
116,2021-05-14 17:42:00,P0417,5,mastercard,5108755026729276,F,16.73,2,18.09
117,2021-05-14 18:30:00,P0690,9,mastercard,5108753300774142,F,11.93,4,13.39
118,2021-05-14 18:57:00,P0376,5,visa,4041591291299,F,10.3,1,11.49
119,2021-05-14 19:50:00,P0086,8,mastercard,5108753483795062,F,1.77,2,2.09
120,2021-05-14 22:03:00,P0364,4,mastercard,5108757745263728,F,15.78,1,17.59
121,2021-05-14 22:57:00,P0074,9,visa,4041597122511668,F,18.11,2,19.79
122,2021-05-15 01:03:00,P0305,6,americanexpress,374283437595721,F,8.74,3,9.99
123,2021-05-15 01:31:00,P0497,8,americanexpress,374288367344545,T,19.75,5,21.39
124,2021-05-15 04:17:00,P0527,5,,3580112966082427,F,16.63,1,18.09
125,2021-05-15 11:50:00,P0205,8,visa,4041590505962,F,16.68,1,18.09
126,2021-05-15 12:00:00,P0423,6,americanexpress,374288179872592,F,14.04,1,14.89
127,2021-05-15 14:28:00,P0526,4,visa,4041597104421,F,3.83,1,4.79
128,2021-05-15 14:41:00,P0368,3,mastercard,5108758012745355,F,9.52,3,10.99
129,2021-05-15 18:09:00,P0592,12,americanexpress,374288786300110,F,7.44,1,8.29
130,2021-05-15 18:28:00,P0547,8,visa,4041597987969712,F,20,2,21.49
131,2021-05-15 21:16:00,P0348,3,mastercard,5048370226314672,F,6.83,1,8.09
132,2021-05-15 22:08:00,P0368,6,mastercard,5108759193067502,F,9.52,1,10.99
133,2021-05-15 22:12:00,P0566,4,americanexpress,374283432883510,F,1.77,1,2.09
134,2021-05-15 23:44:00,P0329,6,mastercard,5048373789263252,F,3.45,4,4.59
135,2021-05-16 00:40:00,P0328,7,americanexpress,374288708285894,F,3.18,3,4.39
136,2021-05-16 04:48:00,P0585,6,visa,4041591390959386,F,3.81,3,4.79
137,2021-05-16 06:27:00,P0746,3,visa,4041590529418,F,6.57,1,7.89
138,2021-05-16 09:28:00,P0399,6,mastercard,5048370550999429,F,9.83,3,11.29
139,2021-05-16 11:12:00,P0215,5,mastercard,5108754366998161,F,0.81,1,1.59
140,2021-05-16 16:37:00,P0456,2,americanexpress,374288879125242,F,18.35,1,20.19
141,2021-05-16 18:32:00,P0372,7,visa,4041595972249934,F,5.75,1,6.89
142,2021-05-16 20:50:00,P0683,5,americanexpress,374283251743746,T,11,1,11.59
143,2021-05-16 20:58:00,P0190,9,americanexpress,374283735062168,F,18.93,3,20.89
144,2021-05-16 22:24:00,P0509,6,,3584477636769109,F,11.66,6,12.89
145,2021-05-16 23:13:00,P0484,6,mastercard,5108754691716627,F,10.9,1,11.59
146,2021-05-17 00:36:00,P0703,6,americanexpress,374288490498556,F,17.42,1,18.49
147,2021-05-17 02:22:00,P0493,5,mastercard,5048373690845007,F,18.02,2,19.69
148,2021-05-17 02:30:00,P0299,5,visa,4041598330504,T,13.5,2,14.79
149,2021-05-17 03:09:00,P0386,7,visa,4041590695901275,F,19.79,1,21.39
150,2021-05-17 03:32:00,P0111,8,visa,4041598230811,T,11.74,1,13.09
151,2021-05-17 05:01:00,P0720,8,mastercard,5108757250320038,F,1.16,1,1.69
152,2021-05-17 05:53:00,P0575,7,mastercard,5048375426189857,F,2.81,4,3.99
153,2021-05-17 06:21:00,P0175,9,americanexpress,374283587670001,F,10.26,2,11.49
154,2021-05-17 08:14:00,P0160,8,visa,4041596348193,F,18.16,1,19.89
155,2021-05-17 09:11:00,P0549,5,mastercard,5048374469877023,F,16.85,1,18.19
156,2021-05-17 09:40:00,P0325,10,americanexpress,374283938821378,F,5.35,1,6.29
157,2021-05-17 10:38:00,P0683,8,visa,4041592604409,F,11,1,11.59
158,2021-05-17 16:45:00,P0475,4,visa,4041593530181,F,8.08,1,8.79
159,2021-05-17 18:02:00,P0397,3,visa,4041591311236310,T,13.67,1,14.89
160,2021-05-17 20:57:00,P0318,6,visa,4041593642028,F,6.76,1,7.99
161,2021-05-18 01:00:00,P0708,4,mastercard,5108750916517097,F,17.79,5,19.19
162,2021-05-18 01:40:00,P0747,6,americanexpress,374288697097185,F,14.79,1,16.19
163,2021-05-18 03:34:00,P0187,2,mastercard,5048370867534620,F,4.17,1,4.89
164,2021-05-18 04:27:00,P0319,5,visa,4041591635461,F,3.51,1,4.69
165,2021-05-18 04:40:00,P0038,4,mastercard,5108750865399265,F,4.71,2,4.99
166,2021-05-18 06:04:00,P0056,5,mastercard,5048377372987383,F,5.95,1,7.19
167,2021-05-18 09:03:00,P0284,6,mastercard,5108759519483284,F,1.03,1,1.59
168,2021-05-18 09:48:00,P0637,5,mastercard,5048371011862420,F,15.32,2,17.09
169,2021-05-18 12:04:00,P0693,5,,372301380468902,F,15.07,1,16.69
170,2021-05-18 14:02:00,P0247,2,visa,4041598690402,F,13.58,2,14.79
171,2021-05-18 19:07:00,P0351,6,mastercard,5048376745152238,F,10.04,3,11.39
172,2021-05-18 21:42:00,P0156,7,americanexpress,374288576914211,F,11.37,4,12.39
173,2021-05-19 00:14:00,P0474,7,visa,4041591883038,F,15.66,3,17.49
174,2021-05-19 01:35:00,P0343,9,americanexpress,374288628037987,F,3.66,4,4.79
175,2021-05-19 03:03:00,P0522,9,americanexpress,374283935942185,F,4.9,3,5.39
176,2021-05-19 03:39:00,P0692,8,americanexpress,374288055891443,F,11.98,1,13.49
177,2021-05-19 04:44:00,P0402,7,visa,4041594109415682,F,11.61,3,12.79
178,2021-05-19 06:06:00,P0258,8,americanexpress,374283974630204,T,16.65,4,18.09
179,2021-05-19 07:10:00,P0442,5,mastercard,5048370297382202,F,14.89,1,16.39
180,2021-05-19 13:13:00,P0364,6,mastercard,5048370502629553,F,15.78,1,17.59
181,2021-05-19 13:46:00,P0483,4,visa,4041590069014762,T,17.52,2,18.69
182,2021-05-19 14:18:00,P0590,4,visa,4041596555693092,F,8.1,2,8.79
183,2021-05-19 16:12:00,P0010,7,mastercard,5108758776552930,F,3.3,3,4.49
184,2021-05-19 17:46:00,P0314,7,americanexpress,374288774756141,T,14.84,3,16.29
185,2021-05-19 17:59:00,P0664,4,americanexpress,374288180304742,F,3.42,2,4.59
186,2021-05-19 19:38:00,P0600,2,mastercard,5048378241940702,F,7.38,2,8.29
187,2021-05-19 20:15:00,P0388,3,visa,4041596179024781,F,17.9,2,19.39
188,2021-05-19 21:38:00,P0235,3,visa,4041593066792752,F,11.99,2,13.49
189,2021-05-19 22:15:00,P0316,6,visa,4041596928788,F,1.81,2,2.19
190,2021-05-19 22:29:00,P0048,4,mastercard,5048371000867802,F,17.85,4,19.29
191,2021-05-20 00:59:00,P0220,4,mastercard,5048370037466703,F,16,1,17.79
192,2021-05-20 03:18:00,P0204,4,americanexpress,374283809130339,T,9.72,1,11.19
193,2021-05-20 03:26:00,P0304,4,americanexpress,374283646650093,F,9.19,2,10.69
194,2021-05-20 05:10:00,P0498,5,visa,4041599545126,F,11.6,1,12.79
195,2021-05-20 08:07:00,P0230,6,americanexpress,374288951592772,F,4.3,1,4.99
196,2021-05-20 09:05:00,P0355,6,visa,4041594277949,F,6.54,1,7.89
197,2021-05-20 09:47:00,P0641,6,visa,4041597117258,F,13.58,6,14.79
198,2021-05-20 10:37:00,P0475,5,americanexpress,374283601023922,F,8.08,5,8.79
199,2021-05-20 11:33:00,P0283,5,visa,4041594078756769,F,1.68,1,1.89
200,2021-05-20 13:25:00,P0201,6,americanexpress,374283700926975,F,9.9,3,11.29
201,2021-05-20 13:42:00,P0066,4,visa,4041599708856,F,9.89,2,11.29
202,2021-05-20 17:11:00,P0727,10,visa,4041593038136,T,15.63,2,17.49
203,2021-05-20 19:46:00,P0165,6,americanexpress,374288242992310,F,0.94,1,1.59
204,2021-05-20 20:01:00,P0319,6,visa,4041592524847,F,3.51,5,4.69
205,2021-05-20 23:24:00,P0245,7,mastercard,5108750321288060,F,4.19,3,4.89
206,2021-05-21 01:56:00,P0477,3,americanexpress,374283004939252,F,2.19,5,2.89
207,2021-05-21 03:56:00,P0371,4,americanexpress,374283030377063,T,5.38,2,6.29
208,2021-05-21 04:01:00,P0420,2,americanexpress,374283999640170,F,18.06,1,19.69
209,2021-05-21 05:29:00,P0655,4,mastercard,5108759522255745,F,12.45,3,14.09
210,2021-05-21 06:42:00,P0213,6,americanexpress,374288525756903,F,11.19,1,11.99
211,2021-05-21 08:14:00,P0019,3,visa,4041591895390343,F,8.58,1,9.69
212,2021-05-21 12:43:00,P0251,3,visa,4041599666501931,F,2.11,1,2.79
213,2021-05-21 19:56:00,P0348,7,visa,4041598294213,F,6.83,1,8.09
214,2021-05-21 22:20:00,P0450,6,mastercard,5048378874963815,F,3.76,3,4.79
215,2021-05-22 02:28:00,P0370,5,visa,4041593492644940,F,19.51,1,21.29
216,2021-05-22 04:33:00,P0299,4,,3588932531862991,F,13.5,2,14.79
217,2021-05-22 07:02:00,P0462,4,mastercard,5048373794369169,F,14.63,1,15.89
218,2021-05-22 13:04:00,P0448,5,mastercard,5048372837039649,T,7.11,4,8.19
219,2021-05-22 13:12:00,P0381,9,americanexpress,374283750213514,F,5.05,1,5.69
220,2021-05-22 13:45:00,P0745,8,visa,4041590619573,F,9.85,1,11.29
221,2021-05-22 14:43:00,P0487,5,mastercard,5108752040997559,F,11.44,4,12.49
222,2021-05-22 15:23:00,P0314,9,americanexpress,374288407436137,F,14.84,2,16.29
223,2021-05-22 16:40:00,P0002,9,mastercard,5048373181666946,F,3.31,1,4.49
224,2021-05-22 22:38:00,P0456,4,americanexpress,374283136554185,F,18.35,3,20.19
225,2021-05-23 06:23:00,P0528,9,americanexpress,374283094746757,F,0.62,1,1.49
226,2021-05-23 09:17:00,P0048,6,visa,4041595016041479,F,17.85,2,19.29
227,2021-05-23 09:53:00,P0532,3,,3548887380820913,F,8.96,4,10.29
228,2021-05-23 10:57:00,P0265,6,mastercard,5048372213981216,F,19.23,2,21.19
229,2021-05-23 16:49:00,P0384,7,visa,4041598027241,T,4.83,2,5.19
230,2021-05-23 17:24:00,P0344,8,americanexpress,374288156309295,F,9.86,1,11.29
231,2021-05-23 17:52:00,P0407,7,visa,4041592780753,F,12.35,3,13.99
232,2021-05-23 19:10:00,P0512,7,visa,4041599497765,F,15.55,1,17.39
233,2021-05-23 21:40:00,P0247,9,mastercard,5108755704440196,F,13.58,1,14.79
234,2021-05-23 22:21:00,P0675,5,visa,4041592184956273,F,12.34,5,13.99
235,2021-05-23 23:21:00,P0418,5,mastercard,5108755723250980,F,13.24,1,14.69
236,2021-05-24 04:03:00,P0517,8,mastercard,5108758793031850,F,5.11,2,5.79
237,2021-05-24 06:04:00,P0465,6,americanexpress,374283913732558,F,9.61,2,11.09
238,2021-05-24 06:11:00,P0409,7,mastercard,5048370206192098,F,18.03,3,19.69
239,2021-05-24 09:04:00,P0304,4,americanexpress,374288727217845,F,9.19,2,10.69
240,2021-05-24 10:27:00,P0494,5,mastercard,5048379707910353,F,17.33,1,18.29
241,2021-05-24 15:29:00,P0155,6,americanexpress,374283656353711,F,7.92,2,8.39
242,2021-05-24 20:50:00,P0420,9,visa,4041591413141,F,18.06,4,19.69
243,2021-05-24 20:53:00,P0512,9,visa,4041595535865,F,15.55,1,17.39
244,2021-05-24 21:01:00,P0482,4,visa,4041599552072,F,2.75,1,3.89
245,2021-05-24 21:37:00,P0425,8,visa,4041598592814,F,10.49,4,11.49
246,2021-05-25 06:12:00,P0392,8,americanexpress,374288538134270,T,13.78,3,14.89
247,2021-05-25 06:15:00,P0212,3,visa,4041595978870667,F,1.86,2,2.29
248,2021-05-25 10:01:00,P0559,5,visa,4041591049152490,F,6.29,2,7.69
249,2021-05-25 11:43:00,P0506,4,visa,4041597507863866,F,10.54,3,11.59
250,2021-05-25 15:39:00,P0640,8,mastercard,5048374194031490,F,9.92,1,11.29
251,2021-05-25 23:43:00,P0741,5,mastercard,5048372558315491,T,8.06,4,8.69
252,2021-05-26 03:16:00,P0618,6,visa,4041599808763,F,10.03,2,11.39
253,2021-05-26 03:34:00,P0140,6,mastercard,5048370505540807,F,1.11,3,1.69
254,2021-05-26 04:13:00,P0083,3,americanexpress,374288713011673,F,3.42,1,4.59
255,2021-05-26 05:41:00,P0524,8,visa,4041598629305802,T,10.66,4,11.59
256,2021-05-26 13:32:00,P0053,5,visa,4041591453873,F,0.33,1,1.29
257,2021-05-26 15:22:00,P0584,5,americanexpress,374288383795886,F,12.95,2,14.59
258,2021-05-26 16:51:00,P0550,6,visa,4041591238704,F,15.35,1,17.09
259,2021-05-26 20:01:00,P0411,5,visa,4041594041147,F,13.46,3,14.79
260,2021-05-26 21:10:00,P0491,8,visa,4041598581940,F,18,1,19.59
261,2021-05-27 01:04:00,P0517,7,americanexpress,374288610743725,F,5.11,1,5.79
262,2021-05-27 04:59:00,P0215,5,visa,4041598413272580,F,0.81,2,1.59
263,2021-05-27 06:49:00,P0463,6,mastercard,5108755088116529,F,12.96,1,14.59
264,2021-05-27 07:22:00,P0068,7,americanexpress,374288695755750,F,7.46,5,8.29
265,2021-05-27 08:32:00,P0654,5,americanexpress,374283410601413,F,8.85,2,10.19
266,2021-05-27 09:50:00,P0462,7,mastercard,5048376902735726,F,14.63,1,15.89
267,2021-05-27 12:23:00,P0560,7,americanexpress,374283987719465,F,1.4,1,1.69
268,2021-05-27 12:25:00,P0640,7,mastercard,5048377771166837,F,9.92,1,11.29
269,2021-05-27 14:12:00,P0519,2,visa,4041590535310042,T,12.45,1,14.09
270,2021-05-27 14:29:00,P0606,6,visa,4041591028944172,F,14.31,1,15.19
271,2021-05-27 16:02:00,P0461,4,mastercard,5108756887815303,F,15.83,4,17.69
272,2021-05-27 19:11:00,P0420,5,visa,4041592763304,T,18.06,2,19.69
273,2021-05-27 20:12:00,P0463,7,visa,4041593791213,F,12.96,3,14.59
274,2021-05-27 21:02:00,P0511,8,americanexpress,374283217167634,F,7.06,2,8.19
275,2021-05-27 23:14:00,P0227,7,,5602220649888333057,F,7.59,4,8.29
276,2021-05-28 00:03:00,P0228,4,visa,4041599292513565,F,0.09,3,1.09
277,2021-05-28 01:10:00,P0499,6,americanexpress,374288061191481,F,16.3,1,17.99
278,2021-05-28 04:58:00,P0393,5,mastercard,5048377334443921,F,10.94,2,11.59
279,2021-05-28 05:07:00,P0667,6,visa,4041596403753783,F,12.7,2,14.39
280,2021-05-28 06:32:00,P0544,6,mastercard,5048370134716117,F,19.72,4,21.39
281,2021-05-28 06:47:00,P0158,7,mastercard,5108757268793515,F,3.02,3,4.19
282,2021-05-28 12:53:00,P0254,8,mastercard,5108758399269318,F,11.44,1,12.49
283,2021-05-28 13:17:00,P0729,7,,5440993547542822,F,9.34,2,10.89
284,2021-05-28 16:01:00,P0216,8,americanexpress,374283478490410,F,13.96,2,14.89
285,2021-05-28 17:24:00,P0352,7,americanexpress,374283078479268,F,2.04,2,2.59
286,2021-05-28 23:41:00,P0418,5,mastercard,5108757514514129,F,13.24,3,14.69
287,2021-05-29 03:26:00,P0637,11,visa,4041592840110,F,15.32,2,17.09
288,2021-05-29 04:12:00,P0494,6,mastercard,5048372882232347,F,17.33,3,18.29
289,2021-05-29 05:53:00,P0503,5,americanexpress,374288920471389,F,12.07,1,13.59
290,2021-05-29 06:39:00,P0498,7,visa,4041594740706,T,11.6,1,12.79
291,2021-05-29 11:29:00,P0599,7,americanexpress,374288606308053,F,13.54,2,14.79
292,2021-05-29 11:30:00,P0223,8,mastercard,5108754788181271,F,6.71,1,7.99
293,2021-05-29 15:07:00,P0124,5,americanexpress,374288654735363,F,0.87,1,1.59
294,2021-05-29 16:42:00,P0010,6,mastercard,5048375115615071,F,3.3,1,4.49
295,2021-05-29 16:50:00,P0455,6,visa,4041598992071,F,1.63,1,1.79
296,2021-05-29 17:26:00,P0422,5,visa,4041595222399,F,4.3,3,4.99
297,2021-05-29 20:39:00,P0491,5,visa,4041590527668001,T,18,1,19.59
298,2021-05-29 23:37:00,P0478,9,,3579180526346213,F,18.67,3,20.59
299,2021-05-30 03:26:00,P0299,5,visa,4041590203204,F,13.5,1,14.79
300,2021-05-30 05:05:00,P0570,6,visa,4041599414893,T,2.32,3,3.19
301,2021-05-30 06:33:00,P0380,6,visa,4041595685967,F,10.56,4,11.59
302,2021-05-30 09:03:00,P0348,7,americanexpress,374283172927451,F,6.83,2,8.09
303,2021-05-30 10:40:00,P0598,3,mastercard,5108752288886571,F,11.99,1,13.49
304,2021-05-30 10:44:00,P0493,7,visa,4041590914006229,F,18.02,1,19.69
305,2021-05-30 10:52:00,P0431,6,mastercard,5048376100331492,F,10.67,2,11.59
306,2021-05-30 11:31:00,P0055,8,americanexpress,374283442838579,F,4.06,3,4.89
307,2021-05-30 14:45:00,P0608,5,visa,4041598731172,T,11.04,4,11.69
308,2021-05-30 14:54:00,P0420,12,americanexpress,374288288645814,F,18.06,3,19.69
309,2021-05-30 17:54:00,P0661,7,mastercard,5108750980155675,F,8.21,2,8.99
310,2021-05-30 18:11:00,P0606,9,americanexpress,374288089919434,F,14.31,2,15.19
311,2021-05-30 22:09:00,P0131,3,americanexpress,374288001518033,F,11.71,1,12.99
312,2021-05-31 03:41:00,P0474,7,visa,4041596219604139,F,15.66,2,17.49
313,2021-05-31 04:55:00,P0599,6,americanexpress,374288343172440,T,13.54,4,14.79
314,2021-05-31 05:13:00,P0581,5,visa,4041597346745340,F,0.51,5,1.49
315,2021-05-31 06:13:00,P0339,8,americanexpress,374283061197372,T,19.62,3,21.39
316,2021-05-31 06:31:00,P0503,5,visa,4041590218661224,F,12.07,1,13.59
